hour,solar_cf,price
1015,0.001221884,17
1016,0.077816652,17.6
1017,0.31919156,17.9
1018,0.44447137,18.5
1019,0.673174825,19.2
1020,0.709941195,20
1021,0.803198839,21.1
1022,0.766280351,21.7
1023,0.638346932,22.1
1024,0.427655394,22.9
1025,0.372315306,24.2
1026,0.136682582,25.1
1027,0.002302787,22.5
1028,0,22.3
1029,0,22.2
1030,0,23.6
1031,0,25
1032,0,27
1033,0,32.6
1034,0,35
1035,0,34.5
1036,0,33.5
1037,0,32.2
1038,0,28.1
1039,0,23.6
1040,0.048746677,20.2
1041,0.116486854,17.4
1042,0.187734426,15.9
1043,0.113612993,15.4
1044,0.218479049,14.9
1045,0.658500735,15
1046,0.7027023,15.7
1047,0.696591415,16.6
1048,0.543564181,17.2
1049,0.382568501,18.1
1050,0.147737754,19.2
1051,0.001987585,18.9
1052,0,17
1053,0,16.4
1054,0,17.1
1055,0,18.9
1056,0,21.4
1057,0,23.1
1058,0,24.1
1059,0,22.6
1060,0,20.5
1061,0,18.5
1062,0,18.1
1063,0.001284414,17.1
1064,0.094198383,15.8
1065,0.234590663,14
1066,0.515059047,14.2
1067,0.566077511,14.8
1068,0.430458023,15.1
1069,0.492693551,15.1
1070,0.598718348,15.6
1071,0.46970939,16.5
1072,0.482648219,18.2
1073,0.254381475,19.8
1074,0.091547858,20.3
1075,0.003171528,17.2
1076,0,16.8
1077,0,17.3
1078,0,18.3
1079,0,18.8
1080,0,20.5
1081,0,25.1
1082,0,26.4
1083,0,25.2
1084,0,22.3
1085,0,20.1
1086,0,16.7
1087,0.000729638,14.8
1088,0.12883911,14.5
1089,0.351927044,14.6
1090,0.55441201,14
1091,0.698038997,13.9
1092,0.706620477,14.1
1093,0.789670853,14.1
1094,0.773050569,14.6
1095,0.662275304,14.9
1096,0.489888359,15.2
1097,0.348248394,16.4
1098,0.137029583,17.7
1099,0.001816154,17.3
1100,0,15.3
1101,0,15.5
1102,0,16.1
1103,0,17.7
1104,0,19.5
1105,0,20.9
1106,0,21.3
1107,0,20.3
1108,0,20.2
1109,0,19.1
1110,0,18.6
1111,0.000663844,18.3
1112,0.130267649,18.8
1113,0.360665911,18.8
1114,0.53666583,19.2
1115,0.719632745,20.3
1116,0.760861597,20.9
1117,0.819741406,21.5
1118,0.704224157,24
1119,0.720809525,25.4
1120,0.522493759,25.4
1121,0.358790622,25.1
1122,0.136333422,27
1123,0.003232984,21.2
1124,0,22.5
1125,0,22.1
1126,0,23.7
1127,0,26.3
1128,0,28
1129,0,33.1
1130,0,34.9
1131,0,34.2
1132,0,31.6
1133,0,24
1134,0,22.5
1135,0.003190332,20.1
1136,0.089889164,18.7
1137,0.32883165,17.8
1138,0.334801587,16.8
1139,0.614792576,16.2
1140,0.554548001,15.8
1141,0.624745493,15
1142,0.524721501,15.3
1143,0.623060156,15.9
